x, y, heading
-188.503,891.937,0
-188.334,892.033,0
-188.164,892.128,0
-187.993,892.224,0
-187.821,892.32,0
-187.648,892.417,0
-187.474,892.513,0
-187.299,892.609,0
-187.123,892.704,0
-186.945,892.8,0
-186.767,892.895,0
-186.588,892.99,0
-186.407,893.084,0
-186.225,893.178,0
-186.043,893.271,0
-185.859,893.364,0
-185.674,893.455,0
-185.488,893.546,0
-185.301,893.636,0
-185.113,893.725,0
-184.924,893.813,0
-184.735,893.899,0
-184.544,893.984,0
-184.354,894.068,0
-184.162,894.151,0
-183.97,894.232,0
-183.777,894.312,0
-183.585,894.391,0
-183.391,894.469,0
-183.198,894.546,0
-183.004,894.621,0
-182.811,894.695,0
-182.617,894.769,0
-182.423,894.84,0
-182.229,894.911,0
-182.036,894.981,0
-181.842,895.05,0
-181.648,895.119,0
-181.454,895.186,0
-181.261,895.254,0
-181.067,895.32,0
-180.873,895.386,0
-180.679,895.452,0
-180.486,895.517,0
-180.292,895.582,0
-180.098,895.647,0
-179.904,895.711,0
-179.711,895.776,0
-179.517,895.84,0
-179.323,895.905,0
-179.13,895.969,0
-178.936,896.033,0
-178.742,896.097,0
-178.548,896.16,0
-178.355,896.222,0
-178.161,896.284,0
-177.967,896.345,0
-177.773,896.404,0
-177.58,896.462,0
-177.386,896.519,0
-177.192,896.574,0
-176.998,896.628,0
-176.805,896.679,0
-176.611,896.729,0
-176.417,896.777,0
-176.223,896.823,0
-176.03,896.867,0
-175.836,896.909,0
-175.643,896.951,0
-175.45,896.991,0
-175.257,897.03,0
-175.064,897.068,0
-174.872,897.106,0
-174.681,897.144,0
-174.49,897.182,0
-174.3,897.219,0
-174.11,897.257,0
-173.922,897.296,0
-173.734,897.335,0
-173.547,897.375,0
-173.361,897.417,0
-173.177,897.459,0
-172.993,897.501,0
-172.81,897.545,0
-172.628,897.588,0
-172.447,897.632,0
-172.267,897.676,0
-172.087,897.719,0
-171.908,897.761,0
-171.729,897.803,0
-171.551,897.844,0
-171.373,897.884,0
-171.195,897.922,0
-171.018,897.959,0
-170.841,897.994,0
-170.664,898.027,0
-170.486,898.058,0
-170.309,898.087,0
-170.133,898.114,0
-169.956,898.139,0
-169.779,898.162,0
-169.603,898.185,0
-169.427,898.205,0
-169.252,898.225,0
-169.077,898.243,0
-168.903,898.26,0
-168.73,898.277,0
-168.557,898.293,0
-168.385,898.308,0
-168.214,898.323,0
-168.044,898.338,0
-167.875,898.352,0
-167.707,898.367,0
-167.54,898.382,0
-167.375,898.398,0
-167.212,898.413,0
-167.05,898.429,0
-166.891,898.446,0
-166.734,898.463,0
-166.58,898.481,0
-166.428,898.499,0
-166.279,898.519,0
-166.134,898.539,0
-165.992,898.56,0
-165.854,898.582,0
-165.719,898.605,0
-165.589,898.629,0
-165.462,898.654,0
-165.34,898.68,0
-165.22,898.706,0
-165.104,898.733,0
-164.991,898.76,0
-164.88,898.787,0
-164.77,898.813,0
-164.662,898.84,0
-164.555,898.865,0
-164.449,898.89,0
-164.343,898.914,0
-164.236,898.936,0
-164.129,898.957,0
-164.02,898.976,0
-163.91,898.993,0
-163.798,899.009,0
-163.685,899.022,0
-163.569,899.034,0
-163.451,899.045,0
-163.331,899.055,0
-163.209,899.064,0
-163.085,899.073,0
-162.96,899.081,0
-162.832,899.09,0
-162.702,899.099,0
-162.57,899.108,0
-162.436,899.119,0
-162.3,899.131,0
-162.162,899.144,0
-162.022,899.159,0
-161.88,899.177,0
-161.735,899.195,0
-161.589,899.216,0
-161.44,899.238,0
-161.29,899.261,0
-161.137,899.285,0
-160.984,899.31,0
-160.828,899.334,0
-160.671,899.359,0
-160.513,899.384,0
-160.354,899.408,0
-160.194,899.431,0
-160.034,899.453,0
-159.872,899.474,0
-159.71,899.493,0
-159.548,899.51,0
-159.385,899.525,0
-159.222,899.538,0
-159.058,899.549,0
-158.894,899.559,0
-158.728,899.567,0
-158.562,899.574,0
-158.394,899.579,0
-158.226,899.584,0
-158.055,899.588,0
-157.884,899.592,0
-157.71,899.596,0
-157.535,899.599,0
-157.358,899.603,0
-157.179,899.607,0
-156.997,899.612,0
-156.813,899.617,0
-156.628,899.624,0
-156.442,899.632,0
-156.254,899.642,0
-156.066,899.652,0
-155.877,899.665,0
-155.687,899.678,0
-155.497,899.693,0
-155.307,899.71,0
-155.117,899.727,0
-154.928,899.746,0
-154.739,899.766,0
-154.551,899.788,0
-154.363,899.811,0
-154.177,899.835,0
-153.992,899.861,0
-153.809,899.888,0
-153.627,899.915,0
-153.446,899.943,0
-153.266,899.972,0
-153.087,900.001,0
-152.91,900.031,0
-152.734,900.061,0
-152.559,900.092,0
-152.385,900.123,0
-152.212,900.154,0
-152.041,900.186,0
-151.871,900.217,0
-151.702,900.249,0
-151.534,900.28,0
-151.367,900.312,0
-151.202,900.343,0
-151.037,900.375,0
-150.873,900.407,0
-150.709,900.439,0
-150.546,900.472,0
-150.382,900.506,0
-150.219,900.541,0
-150.055,900.577,0
-149.892,900.614,0
-149.728,900.652,0
-149.563,900.692,0
-149.397,900.734,0
-149.231,900.777,0
-149.064,900.823,0
-148.896,900.87,0
-148.726,900.92,0
-148.556,900.971,0
-148.384,901.024,0
-148.21,901.078,0
-148.036,901.134,0
-147.86,901.191,0
-147.682,901.248,0
-147.503,901.307,0
-147.322,901.366,0
-147.14,901.425,0
-146.955,901.484,0
-146.769,901.543,0
-146.581,901.601,0
-146.391,901.659,0
-146.199,901.716,0
-146.005,901.772,0
-145.808,901.827,0
-145.61,901.881,0
-145.41,901.934,0
-145.209,901.987,0
-145.005,902.039,0
-144.801,902.091,0
-144.595,902.142,0
-144.388,902.193,0
-144.181,902.243,0
-143.972,902.293,0
-143.763,902.343,0
-143.553,902.393,0
-143.343,902.443,0
-143.133,902.492,0
-142.923,902.542,0
-142.712,902.592,0
-142.502,902.642,0
-142.292,902.692,0
-142.082,902.741,0
-141.872,902.79,0
-141.663,902.839,0
-141.454,902.888,0
-141.246,902.936,0
-141.038,902.983,0
-140.831,903.03,0
-140.625,903.076,0
-140.419,903.121,0
-140.214,903.165,0
-140.011,903.209,0
-139.808,903.251,0
-139.606,903.292,0
-139.405,903.333,0
-139.205,903.372,0
-139.006,903.41,0
-138.808,903.448,0
-138.611,903.484,0
-138.414,903.519,0
-138.218,903.554,0
-138.023,903.589,0
-137.828,903.622,0
-137.633,903.655,0
-137.439,903.688,0
-137.244,903.72,0
-137.051,903.752,0
-136.857,903.783,0
-136.663,903.815,0
-136.469,903.846,0
-136.276,903.877,0
-136.082,903.908,0
-135.888,903.94,0
-135.694,903.971,0
-135.501,904.001,0
-135.307,904.032,0
-135.113,904.062,0
-134.919,904.091,0
-134.726,904.12,0
-134.532,904.149,0
-134.338,904.177,0
-134.144,904.204,0
-133.951,904.23,0
-133.757,904.256,0
-133.563,904.28,0
-133.369,904.304,0
-133.176,904.327,0
-132.982,904.349,0
-132.788,904.369,0
-132.594,904.39,0
-132.401,904.409,0
-132.207,904.428,0
-132.013,904.447,0
-131.82,904.465,0
-131.626,904.482,0
-131.432,904.5,0
-131.238,904.517,0
-131.045,904.533,0
-130.851,904.55,0
-130.657,904.567,0
-130.463,904.584,0
-130.27,904.6,0
-130.076,904.617,0
-129.882,904.634,0
-129.688,904.65,0
-129.495,904.667,0
-129.301,904.684,0
-129.107,904.7,0
-128.913,904.717,0
-128.72,904.734,0
-128.526,904.75,0
-128.332,904.767,0
-128.138,904.784,0
-127.945,904.8,0
-127.751,904.817,0
-127.557,904.834,0
-127.363,904.85,0
-127.17,904.867,0
-126.976,904.883,0
-126.782,904.899,0
-126.589,904.915,0
-126.395,904.93,0
-126.201,904.945,0
-126.007,904.959,0
-125.814,904.973,0
-125.62,904.986,0
-125.426,904.998,0
-125.232,905.009,0
-125.039,905.02,0
-124.845,905.029,0
-124.651,905.038,0
-124.457,905.045,0
-124.264,905.052,0
-124.07,905.057,0
-123.876,905.062,0
-123.682,905.066,0
-123.489,905.069,0
-123.295,905.072,0
-123.101,905.074,0
-122.907,905.075,0
-122.714,905.076,0
-122.52,905.077,0
-122.326,905.078,0
-122.132,905.078,0
-121.939,905.078,0
-121.745,905.078,0
-121.551,905.078,0
-121.357,905.078,0
-121.164,905.078,0
-120.97,905.078,0
-120.776,905.078,0
-120.583,905.078,0
-120.389,905.078,0
-120.195,905.078,0
-120.001,905.078,0
-119.808,905.078,0
-119.614,905.078,0
-119.42,905.078,0
-119.226,905.078,0
-119.033,905.078,0
-118.839,905.078,0
-118.645,905.078,0
-118.451,905.078,0
-118.258,905.078,0
-118.064,905.078,0
-117.87,905.078,0
-117.676,905.078,0
-117.483,905.078,0
-117.289,905.078,0
-117.095,905.078,0
-116.901,905.078,0
-116.708,905.078,0
-116.514,905.078,0
-116.32,905.078,0
-116.127,905.078,0
-115.933,905.078,0
-115.739,905.078,0
-115.545,905.078,0
-115.352,905.078,0
-115.158,905.078,0
-114.964,905.078,0
-114.77,905.078,0
-114.577,905.078,0
-114.383,905.079,0
-114.189,905.08,0
-113.995,905.082,0
-113.802,905.084,0
-113.608,905.086,0
-113.414,905.089,0
-113.22,905.093,0
-113.027,905.098,0
-112.833,905.103,0
-112.639,905.109,0
-112.445,905.117,0
-112.252,905.125,0
-112.058,905.134,0
-111.864,905.144,0
-111.67,905.156,0
-111.477,905.168,0
-111.283,905.18,0
-111.089,905.194,0
-110.896,905.208,0
-110.702,905.223,0
-110.508,905.238,0
-110.314,905.254,0
-110.121,905.27,0
-109.927,905.286,0
-109.733,905.302,0
-109.539,905.319,0
-109.346,905.336,0
-109.152,905.352,0
-108.958,905.369,0
-108.764,905.386,0
-108.57,905.403,0
-108.375,905.42,0
-108.181,905.438,0
-107.985,905.456,0
-107.79,905.475,0
-107.594,905.494,0
-107.397,905.514,0
-107.199,905.534,0
-107.001,905.555,0
-106.802,905.577,0
-106.601,905.6,0
-106.4,905.624,0
-106.198,905.649,0
-105.995,905.675,0
-105.791,905.702,0
-105.586,905.73,0
-105.38,905.759,0
-105.174,905.789,0
-104.966,905.819,0
-104.759,905.85,0
-104.55,905.881,0
-104.341,905.913,0
-104.132,905.945,0
-103.922,905.978,0
-103.712,906.011,0
-103.502,906.044,0
-103.292,906.077,0
-103.081,906.11,0
-102.871,906.144,0
-102.66,906.177,0
-102.45,906.209,0
-102.24,906.242,0
-102.029,906.273,0
-101.819,906.305,0
-101.608,906.336,0
-101.398,906.366,0
-101.187,906.396,0
-100.977,906.424,0
-100.767,906.452,0
-100.556,906.479,0
-100.346,906.505,0
-100.135,906.53,0
-99.925,906.554,0
-99.7146,906.577,0
-99.5042,906.6,0
-99.2938,906.621,0
-99.0834,906.641,0
-98.873,906.661,0
-98.6626,906.68,0
-98.4522,906.699,0
-98.2418,906.717,0
-98.0314,906.735,0
-97.821,906.752,0
-97.6106,906.769,0
-97.4001,906.786,0
-97.1897,906.803,0
-96.9793,906.82,0
-96.7689,906.836,0
-96.5586,906.853,0
-96.3484,906.869,0
-96.1383,906.886,0
-95.9284,906.902,0
-95.7186,906.917,0
-95.5089,906.932,0
-95.2994,906.947,0
-95.09,906.961,0
-94.8807,906.975,0
-94.6716,906.988,0
-94.4626,907,0
-94.2538,907.011,0
-94.0451,907.021,0
-93.8365,907.031,0
-93.628,907.039,0
-93.4196,907.046,0
-93.2112,907.053,0
-93.0027,907.058,0
-92.7944,907.062,0
-92.5866,907.066,0
-92.3793,907.068,0
-92.1728,907.07,0
-91.9674,907.071,0
-91.7632,907.07,0
-91.5605,907.069,0
-91.3594,907.067,0
-91.1601,907.064,0
-90.9629,907.06,0
-90.7681,907.055,0
-90.5757,907.049,0
-90.3859,907.042,0
-90.1992,907.034,0
-90.0157,907.025,0
-89.8351,907.015,0
-89.6574,907.005,0
-89.4822,906.995,0
-89.3094,906.984,0
-89.1388,906.974,0
-88.9701,906.965,0
-88.8032,906.956,0
-88.6378,906.949,0
-88.4738,906.943,0
-88.3109,906.939,0
-88.1489,906.937,0
-87.9876,906.937,0
-87.8268,906.94,0
-87.6663,906.945,0
-87.5059,906.954,0
-87.3456,906.966,0
-87.1853,906.981,0
-87.0252,906.998,0
-86.8654,907.019,0
-86.7059,907.042,0
-86.5468,907.067,0
-86.3881,907.095,0
-86.23,907.125,0
-86.0725,907.157,0
-85.9156,907.19,0
-85.7595,907.226,0
-85.6042,907.263,0
-85.4497,907.302,0
-85.2962,907.342,0
-85.1438,907.383,0
-84.9927,907.426,0
-84.843,907.469,0
-84.6949,907.514,0
-84.5487,907.561,0
-84.4046,907.609,0
-84.2627,907.659,0
-84.1233,907.711,0
-83.9867,907.765,0
-83.8529,907.821,0
-83.7223,907.879,0
-83.5949,907.94,0
-83.4711,908.004,0
-83.351,908.07,0
-83.2349,908.139,0
-83.1227,908.212,0
-83.0144,908.287,0
-82.9093,908.366,0
-82.807,908.447,0
-82.7065,908.531,0
-82.6073,908.616,0
-82.5086,908.703,0
-82.4098,908.791,0
-82.3101,908.879,0
-82.2089,908.968,0
-82.1055,909.057,0
-81.9991,909.145,0
-81.8892,909.231,0
-81.7749,909.316,0
-81.6555,909.4,0
-81.5306,909.481,0
-81.3998,909.559,0
